min_temp,max_temp,Δtemp,min_sal,max_sal,Δsal,days_passed
23,23,0,39,39,0,16
23,23,0,39,39,0,15
22,22,0,36,36,0,14
30,30,0,36,36,0,13
30,30,0,38,38,0,12
29,29,0,39,39,0,11
31,31,0,39,39,0,10
27,27,0,39,39,0,9
26,26,0,37,37,0,8
23,23,0,38,38,0,7
23,23,0,40,40,0,6
20,20,0,35,35,0,5
21,21,0,36,36,0,4
33,33,0,36,36,0,24
33,33,0,39,39,0,23
34,34,0,37,37,0,22
34,34,0,29,29,0,21
34,34,0,27,27,0,20
34,34,0,39,39,0,19
34,34,0,39,39,0,18
33,33,0,38,38,0,17
23,23,0,39,39,0,16
23,23,0,39,39,0,15
22,22,0,36,36,0,14
30,30,0,36,36,0,13
30,30,0,38,38,0,12
29,29,0,39,39,0,11
31,31,0,39,39,0,10
27,27,0,39,39,0,9
26,26,0,37,37,0,8
23,23,0,38,38,0,7
23,23,0,40,40,0,6
20,20,0,35,35,0,5
21,21,0,36,36,0,4
33,33,0,33,33,0,24
33,33,0,40,40,0,23
34,34,0,40,40,0,22
34,34,0,40,40,0,21
34,34,0,40,40,0,20
34,34,0,40,40,0,19
34,34,0,40,40,0,18
33,33,0,38,38,0,17
31,31,0,36,36,0,16
31,31,0,30,30,0,15
31,31,0,29,29,0,14
31,31,0,37,37,0,13
24,24,0,37,37,0,12
29,29,0,37,37,0,11
23,23,0,37,37,0,10
29,29,0,36,36,0,9
29,29,0,34,34,0,8
30,30,0,34,34,0,7
30,30,0,36,36,0,6
30,30,0,32,32,0,5
30,30,0,34,34,0,4
25,25,0,36,36,0,26
31,31,0,36,36,0,25
33,33,0,33,33,0,24
33,33,0,40,40,0,23
34,34,0,40,40,0,22
34,34,0,40,40,0,21
34,34,0,40,40,0,20
34,34,0,40,40,0,19
34,34,0,40,40,0,18
33,33,0,38,38,0,17
31,31,0,36,36,0,16
31,31,0,30,30,0,15
31,31,0,29,29,0,14
31,31,0,37,37,0,13
24,24,0,37,37,0,12
29,29,0,37,37,0,11
23,23,0,37,37,0,10
29,29,0,36,36,0,9
29,29,0,34,34,0,8
30,30,0,34,34,0,7
30,30,0,36,36,0,6
30,30,0,32,32,0,5
30,30,0,34,34,0,4
31,31,0,37,37,0,13
24,24,0,37,37,0,12
29,29,0,37,37,0,11
23,23,0,37,37,0,10
29,29,0,36,36,0,9
29,29,0,34,34,0,8
30,30,0,34,34,0,7
30,30,0,36,36,0,6
